"game_version","steam_build","source_bundle","asset_category","prefab_name","asset_path","research_scope","historical_mapping_status"
"2.0.8 Stable","24420558","er2vehicles","Artillery","15mm GPF","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/15mm GPF.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","37mm_M3","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/37mm_M3.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","Artillery","44M Buzoganyveto","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/44M Buzoganyveto.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Anzio Express","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Anzio Express.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Bofors 40mm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Bofors 40mm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Flak38 AA","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Flak38 AA.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Ger 105 Gun","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Ger 105 Gun.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Ger Flak 88","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Ger Flak 88.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Ger Pak 36","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Ger Pak 36.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Ger Pak 38","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Ger Pak 38.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Ger Pak 40","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Ger Pak 40.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","I5cm Sig33","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/I5cm Sig33.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Jap 47mm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Jap 47mm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M1 Gun 57mm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M1 Gun 57mm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M101A1 105mm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M101A1 105mm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M-13_Launcher","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M-13_Launcher.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M1937 19-K","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M1937 19-K.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M1937 1-K","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M1937 1-K.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","M1937 53-K","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/M1937 53-K.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Mortar GER","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Mortar GER.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Mortar JAP","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Mortar JAP.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Mortar USA","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Mortar USA.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Nebelwerfer","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Nebelwerfer.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","QF 25-Pounder LW","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/QF 25-Pounder LW.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","QF 25-Pounder","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/QF 25-Pounder.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","QF6 Pounder MkV","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/QF6 Pounder MkV.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","QF6 Pounder","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/QF6 Pounder.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","TbtsK 150mm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/TbtsK 150mm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Type 96 aa","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Type 96 aa.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Type92 10cm","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Type92 10cm.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Type92 BG","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Type92 BG.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Zis-2","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Zis-2.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Artillery","Zis-3","Assets/ER2 Assets/Prefabs/Vehicles/Artillery/Zis-3.prefab","stationary_or_towed_weapon","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","C-47 UK","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/C-47 UK.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","Flak38 AAW","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/Flak38 AAW.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","Jagdpanther G1 Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/Jagdpanther G1 Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M10 Wolverine Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M10 Wolverine Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M3 Ambulance Half-Track","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M3 Ambulance Half-Track.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M3 Half-Track Soviet","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M3 Half-Track Soviet.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M3 Stuart uk","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M3 Stuart uk.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M4 Sherman uk","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M4 Sherman uk.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M4 Sherman Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M4 Sherman Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M4A2E8 Sherman Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M4A2E8 Sherman Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","M4A3E2 Sherman Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/M4A3E2 Sherman Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","Panzer iv h Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/Panzer iv h Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","Panzer v Panther Winter","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/Panzer v Panther Winter.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","Deprecated","Sherman Firefly UK","Assets/ER2 Assets/Prefabs/Vehicles/Deprecated/Sherman Firefly UK.prefab","deprecated_asset","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Breda37_Ground","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Breda37_Ground.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Breda37_Tripod","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Breda37_Tripod.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Breda37_Tripod_AA","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Breda37_Tripod_AA.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Browning 30Cal Stationary Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Browning 30Cal Stationary Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Browning 30Cal Stationary Ground","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Browning 30Cal Stationary Ground.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Browning 30Cal Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Browning 30Cal Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Browning M2 Stationary Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Browning M2 Stationary Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Browning M2 Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Browning M2 Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Hotchkiss Stationary Ground","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Hotchkiss Stationary Ground.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","M45Quadmount","Assets/ER2 Assets/Prefabs/Vehicles/MGs/M45Quadmount.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","MGs","Madsen_M1924H_Tripod","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Madsen_M1924H_Tripod.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MaximMG Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MaximMG Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MaximMG Static","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MaximMG Static.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MaximMG Tripod","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MaximMG Tripod.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MaximMG_AA","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MaximMG_AA.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","MGs","MG30_31M Tripod AA","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG30_31M Tripod AA.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","MGs","MG30_31M Tripod","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG30_31M Tripod.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG34 Stationary Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG34 Stationary Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG34 Stationary Ground","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG34 Stationary Ground.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG34 Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG34 Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG42 Stationary Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG42 Stationary Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG42 Stationary Ground","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG42 Stationary Ground.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","MG42 Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/MG42 Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_china","MGs","Type24HMG","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Type24HMG.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Type92 Stationary Bunker","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Type92 Stationary Bunker.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Type92 Stationary Bunker2","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Type92 Stationary Bunker2.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Type92 Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Type92 Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Type97 Stationary","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Type97 Stationary.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Vickers_MG_EW","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Vickers_MG_EW.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2vehicles","MGs","Vickers_MG_LW","Assets/ER2 Assets/Prefabs/Vehicles/MGs/Vickers_MG_LW.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","MGs","ZB37_Tripod","Assets/ER2 Assets/Prefabs/Vehicles/MGs/ZB37_Tripod.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_awakening","MGs","ZB37_Tripod_Romanian","Assets/ER2 Assets/Prefabs/Vehicles/MGs/ZB37_Tripod_Romanian.prefab","stationary_machine_gun","unverified"
"2.0.8 Stable","24420558","er2dlc_china","Planes","A4N","Assets/ER2 Assets/Prefabs/Vehicles/Planes/A4N.prefab","aircraft","unverified"
"2.0.8 Stable","24420558","er2vehicles","Planes","A5M_2","Assets/ER2 Assets/Prefabs/Vehicles/Planes/A5M_2.prefab","aircraft","unverified"
"2.0.8 Stable","24420558","er2vehicles","Planes","BF-109","Assets/ER2 Assets/Prefabs/Vehicles/Planes/BF-109.prefab","aircraft","unverified"
"2.0.8 Stable","24420558","er2vehicles","Planes","BF-109E1","Assets/ER2 Assets/Prefabs/Vehicles/Planes/BF-109E1.prefab","aircraft","unverified"
